Vehicle ID,Departure Time,Arrival Time,Travel Time,Waiting Time,Route Length
ai_7c5fde8fda494c9e917347b5016b0ae4,318.9,424.7,105.8,31.5,870.67
ai_7ef5ee748c6b4558bb0f1f9896772e10,257.1,425.3,168.2,75.0,857.36
ai_d38ff6cfaa154bbb9f48909b35aa8e93,346.2,426.2,80.0,2.7,843.99
ai_36c5ff218d88499c8a4a833f7e4e632b,287.5,426.3,138.8,42.0,953.54
ai_024b66f1a1354c74835389524e24e78c,325.0,426.7,101.7,27.2,626.84
ai_a7f6fbf12f7a4867b36379c9cd8c1112,321.7,428.9,107.2,16.1,936.77
ai_0eb4fcd9ef7846feb438875687e8d0c8,359.9,429.1,69.2,4.3,614.0
ai_7db0e3b1ea524f44be6a1d5e49b367de,284.7,430.3,145.6,55.7,830.68
ai_8c7ad1d6f4204ad588a551b8ea936ffc,338.9,431.6,92.7,19.3,640.31
ai_d4527d387e1c469ab98fc24a962cbb48,294.3,438.4,144.1,63.6,843.52
ai_8b53e399c17040668b5c0d54f8657330,369.3,440.6,71.3,1.6,870.94
ai_42161bdc4e2249a595acdc38d03db274,371.7,442.8,71.1,0.0,861.14
ai_fa5e776dea7d47d38df216cfb9966c5c,345.1,442.9,97.8,19.6,870.47
ai_d29146cfab4c4a32a35a7e8d01e5d05f,326.4,444.8,118.4,40.1,867.67
ai_4ba8de3ccf564600b453600171d0c9bb,310.2,448.3,138.1,51.5,953.65
ai_78fcaa1e172e4ce09c20a45cdb5c61f8,374.8,451.5,76.7,0.0,870.94
ai_2bb6a384c93a42fe9f914f4055176025,300.2,451.8,151.6,65.5,944.62
ai_7b24450200cc4a7ebdba858eb0b62ced,314.7,453.4,138.7,40.4,867.67
ai_c0da2111019842b1beb136d9c3551758,362.1,459.4,97.3,24.3,638.06
ai_91e43322fa8640548c50c8c1d7725fe4,348.0,461.8,113.8,30.5,863.67
ai_8bf16bb93c374402861fdaaafdf94e2d,383.4,467.1,83.7,12.9,846.32
ai_6bf8efd1289b4f2d9ef24ec0709c2932,338.1,468.2,130.1,48.9,846.89
ai_e6cb5ab72530464084214924ca057dbb,372.5,468.9,96.4,42.5,631.99
ai_fe487a68ace4420baa93b38988618527,385.3,468.9,83.6,14.6,854.83
ai_2011e91a2d0243539c6b1aa43feac336,318.1,469.2,151.1,52.3,843.52
ai_208524d08319470b924b47989574a2f5,370.6,471.4,100.8,9.3,854.73
ai_dbe45426b8f34faca1fd1ef628bc14fa,367.7,472.8,105.1,16.2,868.14
ai_b6c82b2437f64166953a9ea36adb1130,383.7,473.6,89.9,0.0,849.83
